ALL INDIA TOTAL,MEAN,ABSOLUTE DIFFERENCE WITH MEAN,MEDIAN,ABSOLUTE DIFFERENCE MEDIAN
3494.4,3249.592381,244.807619,3290.4,204
3586.4,3249.592,336.808,3290.4,296
3604.8,3249.592,355.208,3290.4,314.4
3593.5,3249.592,343.908,3290.4,303.1
3565.2,3249.592,315.608,3290.4,274.8
3495.1,3249.592,245.508,3290.4,204.7
3025.3,3249.592,-224.292,3290.4,-265.1
3421.3,3249.592,171.708,3290.4,130.9
3376.2,3249.592,126.608,3290.4,85.8
3301.1,3249.592,51.508,3290.4,10.7
3265.2,3249.592,15.608,3290.4,-25.2
3348.5,3249.592,98.908,3290.4,58.1
3377.5,3249.592,127.908,3290.4,87.1
3270.5,3249.592,20.908,3290.4,-19.9
2818.9,3249.592,-430.692,3290.4,-471.5
2913,3249.592,-336.592,3290.4,-377.4
2976.5,3249.592,-273.092,3290.4,-313.9
2938.6,3249.592,-310.992,3290.4,-351.8
2968.3,3249.592,-281.292,3290.4,-322.1
2985.2,3249.592,-264.392,3290.4,-305.2
2907.8,3249.592,-341.792,3290.4,-382.6
3135.4,3249.592,-114.192,3290.4,-155
3196.3,3249.592,-53.292,3290.4,-94.1
3213.7,3249.592,-35.892,3290.4,-76.7
3197.9,3249.592,-51.692,3290.4,-92.5
3193.1,3249.592,-56.492,3290.4,-97.3
3186.8,3249.592,-62.792,3290.4,-103.6
3081.9,3249.592,-167.692,3290.4,-208.5
3071.4,3249.592,-178.192,3290.4,-219
3064.8,3249.592,-184.792,3290.4,-225.6
3248,3249.592,-1.592,3290.4,-42.4
3313.4,3249.592,63.808,3290.4,23
3320,3249.592,70.408,3290.4,29.6
3373,3249.592,123.408,3290.4,82.6
3409.3,3249.592,159.708,3290.4,118.9
3552.3,3249.592,302.708,3290.4,261.9
3645.2,3249.592,395.608,3290.4,354.8
3666.4,3249.592,416.808,3290.4,376
3671,3249.592,421.408,3290.4,380.6
3669.5,3249.592,419.908,3290.4,379.1
3655.3,3249.592,405.708,3290.4,364.9
3570.8,3249.592,321.208,3290.4,280.4
3253.2,3249.592,3.608,3290.4,-37.2
3335,3249.592,85.408,3290.4,44.6
3360.3,3249.592,110.708,3290.4,69.9
3291.1,3249.592,41.508,3290.4,0.7
3132,3249.592,-117.592,3290.4,-158.4
3189,3249.592,-60.592,3290.4,-101.4
3075.1,3249.592,-174.492,3290.4,-215.3
3383.2,3249.592,133.608,3290.4,92.8
3084.5,3249.592,-165.092,3290.4,-205.9
3216.5,3249.592,-33.092,3290.4,-73.9
3391.2,3249.592,141.608,3290.4,100.8
3434.3,3249.592,184.708,3290.4,143.9
3413.1,3249.592,163.508,3290.4,122.7
3316.1,3249.592,66.508,3290.4,25.7
3397.2,3249.592,147.608,3290.4,106.8
3441.8,3249.592,192.208,3290.4,151.4
3390.5,3249.592,140.908,3290.4,100.1
3403,3249.592,153.408,3290.4,112.6
3454.6,3249.592,205.008,3290.4,164.2
3456.8,3249.592,207.208,3290.4,166.4
3364.3,3249.592,114.708,3290.4,73.9
2752,3249.592,-497.592,3290.4,-538.4
2757.3,3249.592,-492.292,3290.4,-533.1
2726.9,3249.592,-522.692,3290.4,-563.5
2716.4,3249.592,-533.192,3290.4,-574
2695,3249.592,-554.592,3290.4,-595.4
2717.5,3249.592,-532.092,3290.4,-572.9
2800.9,3249.592,-448.692,3290.4,-489.5
3092.8,3249.592,-156.792,3290.4,-197.6
3147.2,3249.592,-102.392,3290.4,-143.2
3192.8,3249.592,-56.792,3290.4,-97.6
