Entity,Code,Year,Solar (% growth),Coal (% growth),Gas (% growth),Nuclear (% growth),Oil (% growth),Wind (% growth),Hydro (% growth),Other renewables (% growth)
Africa,,2001,23.688,1.278,15.417,-18.145,1.29,134.874,6.769,2.253
Africa,,2002,18.248,-4.252,6.006,11.145,1.817,6.161,4.659,-2.728
Africa,,2003,17.515,8.844,6.233,4.927,2.672,20.951,-3.334,13.96
Africa,,2004,18.486,9.991,8.867,4.872,4.761,41.238,4.798,13.068
Africa,,2005,17.152,-7.177,3.74,-16.041,5.042,1.059,1.255,0.389
Africa,,2006,24.788,1.419,4.362,-11.775,0.687,8.285,2.913,24.438
Africa,,2007,30.359,1.654,6.454,12.171,3.346,18.451,2.715,-17.167
Africa,,2008,39.998,10.213,4.375,14.193,5.615,28.321,1.272,3.313
Africa,,2009,29.834,-0.429,0.842,-2.13,3.647,20.404,2.046,8.232
Africa,,2010,116.508,-0.876,3.495,4.982,5.006,42.802,7.023,6.83
Africa,,2011,110.468,-1.676,8.382,-5.202,-2.712,10.412,2.182,1.989
Africa,,2012,20.985,-2.494,7.368,-0.102,5.444,16.012,-0.149,3.448
Africa,,2013,48.67,1.304,1.323,8.125,3.571,19.469,5.418,7.875
Africa,,2014,120.822,4.761,2.797,-2.797,1.675,44.032,4.515,24.347
Africa,,2015,95.178,-5.567,7.146,-11.816,2.265,71.291,-3.704,27.748
Africa,,2016,36.554,6.135,2.773,29.274,0.899,26.446,-3.955,0.395
Africa,,2017,40.566,-0.387,6.109,-1.57,0.576,9.544,6.292,4.435
Africa,,2018,40.214,3.481,6.228,-30.025,1.04,14.015,4.692,5.83
Africa,,2019,96.001,1.522,0.884,27.694,2.534,22.087,1.425,1.173
Africa,,1966,,-0.116,11.8,,9.453,,11.538,
Africa,,1967,,2.219,-1.164,,-0.806,,4.388,
Africa,,1968,,4.003,1.359,,5.528,,16.971,
Africa,,1969,,0.911,16.868,,1.377,,16.699,
Africa,,1970,,4.072,24.242,,10.533,,25.02,
Africa,,1971,,6.169,18.588,,13.058,,-5.852,
Africa,,1972,,0.313,34.041,,8.39,,13.915,0.61
Africa,,1973,,6.429,60.319,,7.551,,5.779,3.03
Africa,,1974,,4.093,12.557,,3.371,,13.786,2.941
Africa,,1975,,5.975,20.486,,4.63,,5.75,-1.714
Africa,,1976,,6.649,13.69,,11.03,,10.816,7.558
Africa,,1977,,2.208,11.893,,5.874,,9.884,2.162
Africa,,1978,,-2.823,42.7,,5.284,,0.823,3.175
Africa,,1979,,6.16,52.863,,6.635,,7.036,3.077
Africa,,1980,,7.158,25.578,,5.811,,-2.529,2.985
Africa,,1981,,16.97,22.244,,6.424,,3.894,5.314
Africa,,1982,,10.283,7.984,,4.982,,0.027,8.257
Africa,,1983,,1.721,9.947,,3.397,,-9.877,-2.542
Africa,,1984,,6.961,-4.192,,2.13,,-1.673,1.739
Africa,,1985,,3.181,7.287,35.414,2.248,,11.148,14.957
Africa,,1986,,2.311,12.347,65.626,-1.482,,3.429,144.981
Africa,,1987,,2.851,3.228,-29.944,5.056,,-4.084,-0.152
Africa,,1988,,7.466,10.842,70.148,4.664,,9.249,-4.863
Africa,,1989,,-6.127,3.634,5.775,3.69,,5.006,-1.438
Africa,,1990,,5.049,7.315,-23.876,1.579,,1.739,24.106
Africa,,1991,,-2.804,0.75,8.226,0.692,,5.933,2.908
Africa,,1992,,0.598,4.889,1.575,2.307,,-4.602,4.6
Africa,,1993,,1.551,-2.048,-21.888,1.164,,-2.036,11.095
Africa,,1994,,2.588,4.649,33.66,2.306,170,1.612,-10.342
Africa,,1995,,3.09,6.812,16.541,3.498,16.667,3.773,24.324
Africa,,1996,,1.383,4.975,4.194,2.488,12.698,4.262,23.454
Africa,,1997,,2.543,-2.007,7.406,2.712,1.408,2.465,10.201
Africa,,1998,,-2.297,5.24,7.543,2.418,5.556,4.389,23.47
Africa,,1999,,3.116,0.938,-5.617,3.591,160.526,6.045,-1.075
Africa,,2000,,-0.229,10.476,1.348,0.556,788.889,6.453,33.779
Algeria,DZA,2011,97.893,-11.29,5.803,,6.764,,117.165,
Algeria,DZA,2012,46.594,6.182,11.483,,6.33,,2.286,
Algeria,DZA,2013,6.379,-45.89,7.523,,4.492,,-74.703,
Algeria,DZA,2014,108.534,13.291,12.36,,3.909,,93.782,
Algeria,DZA,2015,-3.909,-25.698,5.072,,6.409,1788.693,-25.318,
